iter	Poisson
0	0.8273145537
1	0.7153874949
2	0.6305932153
3	0.5727902959
4	0.527826952
5	0.4942200474
6	0.4684015087
7	0.4472779417
8	0.435281861
9	0.4240511859
10	0.414129536
11	0.4071211128
12	0.4016774597
13	0.3957664909
14	0.3921084691
15	0.3885712182
16	0.3851079512
17	0.3818761676
18	0.3794110805
19	0.3772560148
20	0.3754150754
21	0.3739678898
22	0.3727273662
23	0.371549334
24	0.3703363831
25	0.3694012949
26	0.3686921133
27	0.3677907065
28	0.3673333052
29	0.3666054359
30	0.3657859267
31	0.3650904112
32	0.3646134354
33	0.3642051732
34	0.363448186
35	0.3629411686
36	0.3625240364
37	0.3623133104
38	0.3621095712
39	0.3617399476
40	0.3614765865
41	0.3610832356
42	0.3609575058
43	0.3606908248
44	0.3603937154
45	0.3599455593
46	0.3595839082
47	0.3592650715
48	0.35892442
49	0.3586557784
50	0.3583130613
51	0.358020534
52	0.3577456307
53	0.3574216935
54	0.3571585355
55	0.3569372315
56	0.3566139538
57	0.356240727
58	0.3561098624
59	0.355953307
60	0.3557086027
61	0.3554698449
62	0.3551971307
63	0.3548843946
64	0.3545713917
65	0.354368666
66	0.3540438417
67	0.3538112947
68	0.3535788361
69	0.3534113689
70	0.3531359751
71	0.3528512837
72	0.3526275044
73	0.3524404281
74	0.3521290342
75	0.3519808643
76	0.3519169849
77	0.3516571177
78	0.3514264984
79	0.3511613381
80	0.3508890382
81	0.3506918265
82	0.3503452989
83	0.3501516911
84	0.349885901
85	0.3495401553
86	0.3493939668
87	0.3491893709
88	0.3490036682
89	0.3487533392
90	0.3484773086
91	0.3482861295
92	0.3481286075
93	0.3477024456
94	0.3474178862
95	0.3472254794
96	0.3469035391
97	0.3466523828
98	0.3463768295
99	0.3461296063
100	0.3458191667
101	0.34555662
102	0.3451916577
103	0.3448605108
104	0.3446488215
105	0.3444184864
106	0.3442366887
107	0.3438661386
108	0.3437483008
109	0.3435259049
110	0.3433288768
111	0.3431118717
112	0.3428017468
113	0.3424924704
114	0.3422699687
115	0.3420947722
116	0.3418525913
117	0.3415782971
118	0.3414250157
119	0.3412003964
120	0.3409329527
121	0.3406958768
122	0.3404233823
123	0.3403255433
124	0.3402142611
125	0.3400415603
126	0.3398892557
127	0.3397678687
128	0.3395210326
129	0.3393336907
130	0.3391099658
131	0.3388498785
132	0.3386782227
133	0.3384578814
134	0.3381918088
135	0.3379412901
136	0.3377837261
137	0.3375106304
138	0.3373790821
139	0.3370709631
140	0.3368735022
141	0.3367492071
