iter	Passed	Remaining
0	50	50828
1	55	27565
2	58	19479
3	62	15454
4	66	13181
5	69	11540
6	73	10419
7	77	9646
8	85	9364
9	89	8836
10	93	8386
11	97	8018
12	101	7724
13	105	7464
14	109	7207
15	113	6991
16	117	6802
17	122	6704
18	126	6514
19	129	6340
20	132	6199
21	136	6060
22	139	5929
23	142	5812
24	146	5708
25	149	5604
26	152	5510
27	155	5409
28	159	5331
29	162	5265
30	166	5195
31	169	5135
32	173	5072
33	176	5015
34	180	4967
35	183	4909
36	186	4853
37	189	4799
38	193	4769
39	196	4726
40	200	4688
41	203	4649
42	206	4601
43	210	4574
44	214	4542
45	217	4508
46	220	4473
47	224	4456
48	229	4454
49	235	4468
50	240	4468
51	243	4441
52	246	4410
53	251	4399
54	254	4373
55	257	4339
56	260	4315
57	264	4291
58	267	4269
59	271	4249
60	274	4225
61	276	4184
62	279	4151
63	281	4111
64	283	4072
65	284	4032
66	288	4013
67	291	3996
68	294	3978
69	298	3960
70	301	3943
71	304	3928
72	307	3904
73	310	3890
74	314	3877
75	317	3861
76	320	3843
77	323	3823
78	326	3805
79	329	3785
80	332	3772
81	335	3759
82	339	3745
83	342	3730
84	345	3716
85	348	3702
86	351	3691
87	354	3678
88	358	3667
89	361	3658
90	365	3647
91	369	3645
92	372	3637
93	377	3634
94	381	3632
95	384	3618
96	387	3607
97	390	3597
98	394	3586
99	397	3575
100	400	3564
101	403	3552
102	407	3545
103	413	3561
104	418	3567
105	422	3563
106	425	3553
107	433	3581
108	439	3592
109	445	3608
110	449	3603
111	454	3604
112	458	3600
113	463	3599
114	467	3594
115	470	3587
116	475	3589
117	479	3585
118	483	3577
119	486	3567
120	490	3561
121	493	3554
122	497	3545
123	500	3536
124	504	3530
125	509	3531
126	512	3525
127	516	3518
128	519	3510
129	523	3501
130	526	3494
131	530	3486
132	534	3481
133	537	3472
134	541	3468
135	544	3461
136	548	3454
137	551	3443
138	554	3434
139	557	3423
140	560	3415
141	563	3405
