iter	Poisson
0	0.9188293506
1	0.8467997827
2	0.7907405606
3	0.743294637
4	0.7029734684
5	0.6650872166
6	0.6304719723
7	0.6050069832
8	0.5822794012
9	0.5615038597
10	0.5437983856
11	0.528748688
12	0.5163551977
13	0.5057967335
14	0.4937888606
15	0.4832626852
16	0.4739979878
17	0.4683214283
18	0.4596291471
19	0.4525815219
20	0.4473791043
21	0.4419113789
22	0.4359909173
23	0.431944958
24	0.4293407085
25	0.4258782438
26	0.4226210862
27	0.4195128538
28	0.4181518812
29	0.4157041097
30	0.4140113149
31	0.4124284725
32	0.411302742
33	0.4093709382
34	0.4077996077
35	0.4066751534
36	0.4051127532
37	0.4044662079
38	0.4027333502
39	0.4011164988
40	0.399885842
41	0.3991550002
42	0.3981886539
43	0.3971801891
44	0.3963199922
45	0.3960100569
46	0.395157615
47	0.3939824081
48	0.3931337907
49	0.3923107801
50	0.3913640611
51	0.3907980298
52	0.3896956012
53	0.3891779203
54	0.3881790567
55	0.387427778
56	0.3867968314
57	0.3861970275
58	0.3859872053
59	0.3855026207
60	0.3850888217
61	0.384603195
62	0.3840719671
63	0.3837686352
64	0.383333658
65	0.3829197548
66	0.3824880303
67	0.3821714478
68	0.3818210571
69	0.3815589373
70	0.3813785909
71	0.3810207174
72	0.3808721607
73	0.3806029294
74	0.3803274702
75	0.3800528129
76	0.379867021
77	0.3796549408
78	0.3794882739
79	0.3792728954
80	0.3791055704
81	0.3789435472
82	0.3787930484
83	0.3787171549
84	0.3785286955
85	0.3783868946
86	0.3782451481
87	0.3780745145
88	0.3778883158
89	0.377700777
90	0.3776466317
91	0.3775398829
92	0.377414382
93	0.3773271806
94	0.3771685849
95	0.3770447507
96	0.3769702029
97	0.3769141907
98	0.3768080673
99	0.3767151797
100	0.3766409376
101	0.3764974924
102	0.3763983915
103	0.376281516
104	0.3761670711
105	0.3760344264
106	0.3759422417
107	0.3758790234
108	0.3758056404
109	0.3756966532
110	0.375604644
111	0.37548328
112	0.3753646158
113	0.3752858025
114	0.3751607428
115	0.3751225463
116	0.3750482024
117	0.3749881601
118	0.3748686698
119	0.3748350095
120	0.3747759527
121	0.374667398
122	0.3745822282
123	0.3744884398
124	0.3743874346
125	0.3743019098
126	0.3742231753
127	0.3741768494
128	0.3740658464
129	0.3739807957
130	0.3739112203
131	0.3738591669
132	0.3737847073
133	0.3737011295
134	0.3736310348
135	0.3735508159
136	0.3734765927
137	0.3734265369
138	0.3733687046
139	0.3732647838
140	0.3732173947
141	0.3731706972
142	0.3730893155
143	0.3730296805
144	0.3729694343
145	0.3729072258
146	0.3728040191
147	0.372729559
148	0.3726987437
149	0.3726512097
150	0.3725670763
151	0.3725181168
152	0.3724451318
153	0.3723902151
154	0.3723334765
155	0.3722804596
156	0.372157394
157	0.372084606
158	0.3719648592
159	0.3719095326
160	0.3718419095
161	0.3717431096
162	0.371611592
163	0.3715594888
164	0.3714897049
165	0.3714476162
166	0.3714019406
167	0.3713172546
168	0.3712602443
169	0.37116908
170	0.3710313962
171	0.3709818989
172	0.3708527013
173	0.3708184357
174	0.3707442601
175	0.3706609608
176	0.3706214499
177	0.3705587562
178	0.3704670342
179	0.3703847152
180	0.3702978913
181	0.3702332363
182	0.3701698675
183	0.3701016596
184	0.3700259209
185	0.3699676713
186	0.3699284681
187	0.3698728747
188	0.3697946239
189	0.3697447568
190	0.3697040673
191	0.3696547263
192	0.3695294253
193	0.3694712582
194	0.3693888101
195	0.36934538
196	0.3692415785
197	0.3691943651
198	0.3690773074
199	0.3690082903
