iter    Passed    Remaining
0    50    10137
1    54    5401
2    58    3810
3    62    3071
4    68    2656
5    70    2294
6    74    2046
7    77    1859
8    81    1730
9    85    1621
10    89    1530
11    92    1452
12    96    1391
13    100    1336
14    105    1298
15    109    1259
16    113    1219
17    117    1184
18    120    1150
19    127    1145
20    133    1138
21    140    1133
22    143    1105
23    147    1081
24    150    1053
25    153    1028
26    157    1009
27    160    988
28    164    969
29    167    948
30    170    928
31    173    909
32    176    892
33    179    876
34    182    860
35    185    845
36    188    831
37    191    818
38    195    805
39    198    793
40    200    779
41    205    773
42    209    764
43    212    754
44    215    743
45    218    732
46    223    727
47    226    717
48    229    707
49    232    696
50    235    687
51    239    681
52    243    676
53    249    673
54    252    665
55    256    658
56    259    652
57    262    643
58    265    634
59    268    626
60    272    620
61    275    613
62    278    605
63    281    598
64    284    591
65    288    585
66    293    582
67    296    575
68    300    570
69    304    565
70    308    561
71    312    556
72    317    551
73    320    545
74    322    537
75    325    530
76    327    523
77    330    516
78    334    511
79    338    507
80    342    503
81    346    498
82    350    493
83    354    489
84    358    484
85    362    481
86    367    477
87    372    474
88    376    469
89    381    465
90    387    463
91    391    459
92    395    454
93    403    455
94    409    452
95    416    451
96    421    447
97    425    442
98    429    438
99    433    433
100    437    428
101    443    425
102    446    420
103    449    415
104    452    409
105    455    404
106    460    400
107    464    395
108    469    391
109    473    387
110    477    383
111    482    378
112    486    374
113    490    370
114    494    365
115    498    361
116    502    356
117    506    352
118    510    347
119    514    342
120    517    338
121    522    334
122    527    329
123    531    325
124    535    321
125    539    317
126    542    311
127    544    306
128    548    301
129    552    297
130    556    293
131    559    288
132    563    283
133    568    280
134    572    275
135    575    270
136    578    265
137    582    261
138    587    257
139    590    253
140    594    248
141    596    243
142    600    239
143    603    234
144    606    230
145    610    225
146    613    221
147    616    216
148    619    212
149    623    207
150    626    203
151    629    198
152    634    194
153    639    191
154    643    186
155    645    182
156    649    177
157    651    173
158    654    168
159    657    164
160    660    160
161    664    155
162    668    151
163    670    147
164    672    142
165    675    138
166    677    133
167    682    129
168    685    125
169    687    121
170    689    117
171    692    112
172    697    108
173    701    104
174    704    100
175    708    96
176    713    92
177    717    88
178    721    84
179    726    80
180    730    76
181    734    72
182    737    68
183    739    64
184    742    60
185    745    56
186    747    51
187    749    47
188    752    43
189    754    39
190    758    35
191    761    31
192    764    27
193    768    23
194    771    19
195    775    15
196    779    11
197    783    7
198    787    3
199    791    0
